tier,Topic,Count,Name,top_keywords
tier1_general_tech,-1,6778,-1_don_code_did_thanks,
tier1_general_tech,0,774,0_code_far_don_did,"code, far, don, did, stuff"
tier1_general_tech,1,68,1_thanks_riley__,"thanks, riley, , , "
tier1_general_tech,2,65,2_helpful_info_exactly_riley,"helpful, info, exactly, riley, far"
tier1_general_tech,3,41,3_exactly_year_info_don,"exactly, year, info, don, did"
tier1_general_tech,4,33,4_exactly_helpful_fun_don,"exactly, helpful, fun, don, "
tier1_general_tech,5,23,5_helpful_riley_year_far,"helpful, riley, year, far, info"
tier1_general_tech,6,18,6_year_code_stuff_did,"year, code, stuff, did, "
tier1_general_tech,7,11,7_fun_riley_far_,"fun, riley, far, , "
tier1_general_tech,8,10,8_fun_code__,"fun, code, , , "
tier2_niche_tech,-1,12108,-1_don_code_linux_using,
tier2_niche_tech,0,528,0_crap_windows_linux_program,"crap, windows, linux, program, isn"
tier2_niche_tech,1,521,1_getting_user_using_don,"getting, user, using, don, end"
tier2_niche_tech,2,456,2_https_17_15_link,"https, 17, 15, link, interesting"
tier2_niche_tech,3,162,3_thank_set_thanks_using,"thank, set, thanks, using, version"
tier2_niche_tech,4,126,4_js_years_current_systems,"js, years, current, systems, far"
tier2_niche_tech,5,109,5_wait_knew_didn_finding,"wait, knew, didn, finding, website"
tier2_niche_tech,6,21,6_search_isn_having_wondering,"search, isn, having, wondering, results"
tier2_niche_tech,7,12,7_bro_exist_shouldn_hope,"bro, exist, shouldn, hope, damn"
tier2_niche_tech,8,12,8_code_written_programming_days,"code, written, programming, days, write"
